	job_file	run_name	encoder_path	decoder_path	test_only_ckpt	num_test_samples	dataset	split_file	spec_features	mol_features	merge	model_type	diffusion_steps	n_layers	n_epochs	batch_size	eval_batch_size	lr	seed	test/NLL	test/X_KL	test/E_KL	test/E_CE	test/validity	test/acc_at_1	test/acc_at_5	test/acc_at_10	test/tanimoto_at_1	test/tanimoto_at_5	test/tanimoto_at_10	total_runtime_s
39	17762905_0	dev	1/encoder.pt	pretrain/decoder58.pt		16384.0	msg_neims	msg_neims/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	100.0	128.0	512.0	0.0002	42.0	340.95751953125	0.0792995765805244	0.591533362865448	0.1511961668729782	0.7118491530418396	0.0	0.0	0.0	0.1478887349367141	0.1919547319412231	0.1996254920959472	38957.0
37	17762822_0	dev	1/encoder.pt	1/decoder.pt		16384.0	msg_neims	msg_neims/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	100.0	128.0	512.0	0.0002	42.0	331.5321655273437	0.0782726779580116	0.5738116502761841	0.1507021784782409	0.698965311050415	0.0003337783855386	0.0003337783855386	0.0003337783855386	0.1476196497678756	0.1930232048034668	0.2004008144140243	37558.0
15	17234625_0	dev	2_new/decoder.pt	2_new/decoder.pt		16384.0	atmomaccs	atmomaccs/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	0.0	128.0	1024.0	0.0002	42.0	127.05631256103516	0.0279194358736276	0.1753591299057006	0.4248976409435272	0.7270604372024536	0.0130077833309769	0.0361445769667625	0.0446742735803127	0.1438055336475372	0.2152968049049377	0.2324940413236618	61550.0
16	17246561_0	dev	2_new/encoder.pt	2_new/decoder.pt		16384.0	atmomaccs	atmomaccs/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	0.0	128.0	1024.0	0.0002	42.0	131.08245849609375	0.0283273793756961	0.1795550882816314	0.4504430294036865	0.7975903749465942	0.0145004801452159	0.0423286072909832	0.0502185747027397	0.1547194719314575	0.2250289618968963	0.2410822808742523	61590.0
31	17713374_0	dev	1_new/encoder.pt	1_new/encoder.pt		16384.0	neims	neims/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	100.0	128.0	1024.0	0.0002	42.0	123.94412994384766	0.0431768968701362	0.197077676653862	0.1947597414255142	0.8875793218612671	0.01458740234375	0.04638671875	0.06951904296875	0.3360170125961303	0.4408519864082336	0.4809860587120056	43390.0
30	17647015_0	dev	1_new/encoder.pt	pretrain/decoder.pt		16384.0	gecko_atmomaccs	gecko_atmomaccs/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	50.0	128.0	1024.0	0.0002	42.0	112.73214721679688	0.0282444264739751	0.1607171446084976	0.4053570628166199	0.7305148243904114	0.0179586950689554	0.048039510846138	0.058665070682764	0.1791076213121414	0.2506280541419983	0.2702710628509521	56193.0
29	17646811_0	dev	1_new/encoder.pt	pretrain/decoder.pt		16384.0	gecko_atmomaccs	gecko_atmomaccs/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	100.0	128.0	1024.0	0.0002	42.0	133.8120880126953	0.02873195707798	0.1798056811094284	0.4959206581115722	0.7288386821746826	0.0212511215358972	0.0544747076928615	0.0677940770983696	0.1739902794361114	0.2455790340900421	0.2656243443489074	71474.0
58	17928382_0	dev	e2e_pretrained/encoder.pt	e2e_pretrained/decoder.pt		16384.0	gecko_atmomaccs	gecko_atmomaccs/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	50.0	256.0	256.0	0.0002	42.0	127.36441040039062	0.0288117360323667	0.1848028600215912	0.3864520490169525	0.7952708601951599	0.0218497458845376	0.0559712648391723	0.0670457929372787	0.1826225370168686	0.2599179744720459	0.2795874774456024	44297.0
67	17959653_0	dev	final/encoder.pt	final/decoder.pt		16384.0	gecko_new	gecko_new/split_random.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	50.0	256.0	1024.0	0.0002	42.0	123.01111602783205	0.0435060337185859	0.1948945373296737	0.191863402724266	0.953601062297821	0.0230712890625	0.06719970703125	0.1041259765625	0.3575962781906128	0.4700777530670166	0.5211020112037659	31937.0
63	17942563_0	dev	final/encoder.pt	final/decoder.pt		16384.0	gecko_atmomaccs	gecko_atmomaccs/split.tsv	peakformula	fingerprint	downproject_4096	graph_tf	500.0	5.0	100.0	64.0	256.0	0.0002	42.0	143.66810607910156	0.0290334112942218	0.1926575750112533	0.4150870740413666	0.7030978798866272	0.0233463030308485	0.0553726442158222	0.065249927341938	0.1764059215784073	0.2420552521944046	0.2580580711364746	60910.0
